Gia,Mieu ta,Ngay tao,Tua de
14.300.000,"ÔnganhđinướcngoàiđểlạichiếcFuture1,Máynổthìthầm,xeêmái,độngcơmạnhmẽ,Dànngoàicònkeng,rớtđầucạokhói1lần,Xebstpkhôngchínhchủ,bángiấytaybaotranhchấptoànquốc,Giá14tr3,LiênhệACường093793698876/33/17LêVănPhan,P,PhúThọHòa,Q,TânPhú",5thángtrước,Honda Future 1 BSTP c\u1ea7n b\xe1n
25.000.000,"HondaCD125ccđời2002nguyênbảncựcđẹplengkengzin100%,liênhệ0121,5555,412phướcsangcózalo",2thángtrước,Honda CD 125cc \u0111\u1eddi 2002
45.000.000,"CầnbánxeHonda150xenhập,xelêndànáoshý2010đẹphoànhảo,Xehoạtđộngổnđịnhhiệnđangđilàmbìnhthường,xenhàsửdụngkỹ,ĐặcbiệtCavetgốctheoxekhôngcóchữ@chỉghihonda150,Anhemchơixeliênhệmìnhnhé",8thángtrước,B\xe1n Honda l\xean sh \xfd 2010
10.000.000,"DonhucầukhôngsửdụngnênnhàmìnhcầnbánchiếcSPACYthắngchânmàutrắngsảnxuấttừNhậtBản!!!Địachỉ:75/28/2Đườngsố7,Phường3,QuậnGòVấpCácbạnanhchịemcóthểđếnđịachỉđểchitiếthơnvềxevàgiá10trcóthểthỏathuậnthêmcóxuốnghaykhông",1nămtrước,Honda Spacy
22.000.000,,7thángtrước,C\u1ea7n b\xe1n xe Honda Lead 110
16.900.000,"MáyravỏxeThươngHiệu:HONDAmodel:SH-125FThôngsốkỹthuật:-Đườngkínhkẹptrong:10""-20""-Đườngkínhkẹpngoài:12""-24""-Đườngkìnhlốplớnnhất:1250mm-Chiềurộngcủalốp:3""-15""-ápxuấtlàmviệc:8-10bar*Máysửdụnghơivàkhínénvớiđiệnáp220Vvàápxuấthơiyêucầulà6tới8kgMáyravỏxeSH-125Flàdòngmáydanăngnhấtcóthểmỡđượcchoxetaygavàxeôtôcon,vàcácxetảinhẹtư2,5Ttrởxuốngvớiđườngkính10""-24"",Bộkẹptựđịnhtâm,xilanhéplốpcôngxuấtlớn",7thángtrước,M\xe1y th\xe1o v\u1ecf xe SH-125F Honda
35.000.000,"Hondacúp125ccđời2018hàngthùng-THAILAN-cựcđẹp,Giá35trbaoshipliênhệ0121,5555,412gặpanhsang",3thángtrước,Honda c\xfap 125cc \u0111\u1eddi 2018 h\xe0ng th\xf9ng
10.000.000,"Donhucầukhôngsửdụngđến,nêncầnbánewinđãgắnbólâudài,hìnhthứchơicũtheonămtháng,nhưngcônsốngọtngàovìđãlàmlại,đồzintheoxecònkhánhiều,nêncácanhmuaxenàythìkhôngcầnnghỉ,xeđểởnhàkhôngchạyrấtlâurồi,anhemmuavuiolònggọi,xebángiấytờđầyđủ,chỉlàkhông9chủ,nhưngrúthồsơok,đãhỏi",3thángtrước,Win Honda 100 - bi\u1ec3n H\xe0 N\u1ed9i 4 s\u1ed1
20.100.000,"XEMÁYĐIỆNHONDA-HÃNGXEĐIỆNBÁNCHẠYSỐ1THẾGIỚI,CHẤTLƯỢNGTUYỆTĐỈNH,ĐỘBỀNTÍNHBẰNGTHẾKỶ,GIÁNGỌTNGÀOJOKER-LướtnhẹkhônggiớihạnBạnđãcảmthấynhàmchánvớinhưngchiếcxeđiệnnhiềungườicóvàmuốnsởhữumộtchiếcxemớivàthờitrangnhất",11thángtrước,Xe M\xe1y \u0110i\u1ec7n JOKER Honda ch\xednh h\xe3ng
9.600.000,"XeHondawavealphatemlửamàuđỏđen,biểnsốthànhphố,xeđangsửdụng,giấytờbảohiểmđầyđủ,Xeđiêmái,bảodưỡngthườngxuyên,Phùhợpchoanhemdùngđihọc,đilàm,naycầnlênđờixeđạpđiệnnênbán, Muabántạinhàở166ThíchQuảngĐức,PhúNhuận,Cófixxăngxe,thaynhớt,bảodưỡng,càphêchoanhemnhiệttình",1nămtrước,Honda wave alpha 2007
12.000.000,"BánxeHondaSCRbiểnF9-4số,màuxám,đãđiđược4,9vạn,Giá:12triệu",2nămtrước,B\xe1n xe Honda SCR
56.000.000,"Tuổitrẻthìngắn,thếgiớithìrộng,Chínamnhi,ngồimộtchổlàmchi?💗HondaXr150LModel2017(nhậpnguyênchiếc)💰Giátrên50Tr(chưatínhVATvàcáckhoảnphíkhác)☎Call:0982496898👉Showroom5:415Phạmvănđồng,P,linhđông,Q,ThủĐức,Tp,HCM(gầnvòngxoayKhavạncân-phạmvănđồng)❤Hotlinetrảgóp:HàNội:0944081368SàiGòn:0908532018---------------------------------------------------------------------------💰TặngngaygóidịchvụSIÊUHOT🎈2",1nămtrước,Honda Xr150L Model 2017
42.000.000,"CầnbánmộtxeHondaCD125Tsốkhungđầu15,date1997,NgoạihìnhđẹpXecóPPđãrabiển5sốTP,,đk2015,nhưngkhôngsangtênđượcGiáxe42triệuVND(sẽfixnếungườimuathậtsựthiệnchívàchămsócxekĩcàng),xemxetạiQ,9,TP,HCM,liênhệMinh(25t)0903830110,miễntiếptinnhắnSMS",2nămtrước,Honda CD125T Date 1997
30.000.000,"Xechínhchủ,nữđi,giữcẩnthận,thanhnhớtđịnhkì,Xedánkeonêngỡkeomàusơnđẹpnhưmới,Biểnsố7nút,đăngkíquậnBìnhthạnh",1nămtrước,B\xe1n xe Honda Lead
42.000.000,"XezinTừa-z,Mọithứhoạtđộngkocóchútlỗi,Xecógiấytờđầyđủ,máybốckocóđiểmđểchê",1nămtrước,Honda CB400 \u0111\u1eddi 95
23.800.000,"CầnbánHondaVision2013Bstpchínhchủ,xenữchaynênrấtkỹvàêm,Xeđẹpmàuđenbónglưỡngnhưxemới,Fixchobạnnàocầnvàyêuxenhé!LH:0935508828Ms,Diễm",1nămtrước,Honda vision (zin 2013)
12.000.000,"BánxeHondaFuture,xecònrấttốt,đilàmhàngngày,MuốnnângcấplênPKLnênbán,Liênhệ:Thái0982101283",2nămtrước,B\xe1n xe Honda Future
8.100.000,"mìnhcầnbánlaimộtchiếcxehonđawaveachínhhảng,xebiểnsốbìnhdương,giấytờđầyđủ,máyêm,chạybốcxemáyzinchưalàmgìcả,bìnhđề,đèn,kèn,sinnhanđầyđủ,giámìnhbánlại8tr1bớtchúttiềnxăngchoanhchiemmuavêđi,lh0987868226",1nămtrước,Honda wave@ ch\xednh h\xe3ng
24.000.000,"Hondabenly50ccFItaygasiêutiếtkiệmxăng60-70km/lítNguyênzin100%,chạyrấtđầmbốc,xenoppBán24trfixnhẹcafe,Xemxetạichợbàucáttânbình,sdt0917615599 ",2nămtrước,Honda benly 50cc FI
93.000.000,"BánxeSH125iphomnhập,biểnHN5sốxeđăngkývàsxtháng5/2011(chínhchủkonóisai),xecònmới98%bọcnilongkínxe,cònđầyđủ,2gương,2chìakhóa,sáchhướngdẫnvàđãlắpkhóatrốngchộm,Giá:93triệu,Kotiếpthợthuyền",1nămtrước,Honda SH125i \u0111\u1eddi 2011
24.500.000,"BánxeHondaAirbladenhàsửdụng,muatừnăm2012(nhưhình),giá24,5triệu,Liênhệ0932725005,găpVũ",3thángtrước,Kh\xf4ng s\u1eed d\u1ee5ng c\u1ea7n b\xe1n Honda Airblade \u0111\u1eddi 2012
220.000.000,"HondaSH300icuối2015đầu2016BSTPchínhchủ, Máymóczinchưađụngchạmxeêmru, Dànáođẹplengkeng, Óctánsángchói, Dànchâncứnggắtđẹp, Xenóichungcònrấtđẹpmới, Phuộcohlinsđậpthùng",7thángtrước,Honda SH 300i cu\u1ed1i 2015 \u0111\u1ea7u 2016 BSTP ch\xednh ch\u1ee7
185.000.000,"HONDAFREEWAYNHẬT250cc,ChuyênDànhChoCánBộViênChứcHoặcTrongNgànhHảiQuan,CamKếtMáyZin(TestToànQuốcLunNha),CựcĐẹpVàCựcChất,Giábán:185Triệu(CònThươngLượng)""QuyềnLợiKháchHàngKhiMuaXe,""Bảohành:2Năm,Màu:NâuCựcSangTrọngBiểnsố:VIPThànhPhốLunNha",9thángtrước,"Honda Freeway 250cc \u0111\u1eb9p, cam k\u1ebft m\xe1y zin, ch\xednh ch\u1ee7"
50.000.000,"HondaPCX-150cc-ABSđời2018xethùngzin100%,giá50trbaoship,liênhệ0899,08,6780gặpanhsang",1thángtrước,Honda PCX-150cc-ABS \u0111\u1eddi 2018 xe th\xf9ng zin 100%
16.900.000,Xebãinhậpkhẩutrựctiếpnhậtbản,1thángtrước,Honda scoopy crea zoomer xe b\xe3i nh\u1eadt 50cc
150.000,"ChuyêncungcấpđồngphụchãngxeHONDA,-Đồngphụckỹthuậttrưởng,-ĐỒngphụcsửaxe,-Đồngphụcbánhàng,đượcsảnxuấtvảicotton65/35tạocảmgiácthoángmát,Thấmhútmồhôitốt,Cungứngchocácđiểmsửaxe,cáchãngxemáytrêntoànquốc,LiênHệ:0917,370,770hoặc0987,664",1thángtrước,"\u0110\u1ed3ng ph\u1ee5c k\u1ef9 thu\u1eadt tr\u01b0\u1edfng, \u0111\u1ed3ng ph\u1ee5c s\u1eeda xe Honda"
90.000.000,,6thángtrước,Xe Honda phi\xean b\u1ea3n k\u1ef7 ni\u1ec7m n\u0103m 1982
14.000.000,"BánxeHondaClickcũmàuđỏđen,2009, Đờinăm2009ChínhchủBstp,baocôngchứng-Xenguyênzin, -Máychạyrấtêmvànhẹ,-Dànáomớitháokeonênkotrầy,Xechạyrấttiếtkiệmxăng, -XemxetạiQ,TânPhú, ",7thángtrước,"B\xe1n xe Honda Click c\u0169 m\xe0u \u0111\u1ecf \u0111en, 2009"
92.000.000,"HONDASH150iCBSMàusơn:XámNămĐăngKý:2017Odo:3200KmGiábán:92Triệu(ThươngLượng)""QuyềnLợiKháchHàngKhiMuaXe,""Bảohành:2nămvềmáyBảoDưỡngĐịnhKỳ1000KMmiễnphí,Thaynhớtmớihoàntoànmiễnphísaumuaxe,Thủtụcmuaxenhanhgọn,giấytờđầyđủvàhợppháp",9thángtrước,"B\xe1n Xe Honda SH 150i CBS 2017, X\xe1m, Ch\xednh Ch\u1ee7"
69.000.000,"HondaCBR1502011cũ,odo6k,chínhchủ, sangtênnhanhchóngvìnhàkếbênphòngcôngchứng,Đanggắn4cáixinhanđồchơivàoxe,aimuasẽlắplại4cáixinhanzin",7thángtrước,"Honda CBR150 2011 c\u0169, odo 6k, ch\xednh ch\u1ee7"
6.200.000,"MìnhcólấyđượcxecủahãngH21cấpđộchạyrấtnhẹnhàng,Bánh20inchkhônggai,Niềnxégiótrongrấtthểthao",1thángtrước,Xe \u0111\u1ea1p g\u1ea5p Honda Modulo nh\u1eadp nguy\xean chi\u1ebfc t\u1eeb Th\xe1i Lan
62.500.000,"CầnbánxeHondaCBR150,xeđời2016máynguyênZin100%hìnhthứcđẹp,tuyệtđốikhôngđâmđụngvachạm,Tôikođiđến,xetôibánchoaicónhucầu62,5triệuxincảmơn",4thángtrước,Honda CBR 150 ch\xednh ch\u1ee7 \xedt ch\u1ea1y 2016
Thương lượng,,5thángtrước,B\xe1n xe honda lead b\u1ea1c 7/2011 28.890km ch\xednh ch\u1ee7
10.500.000,"CầnbánxeHondaWave110màubạcMáyêm,xechạytốtCógiấytờđầyđủXeđãquasửdụngBảnsốtỉnh75Bạnnàocónhucầumuaxeđểsửdụnghãyliênhệnhé0972647204XemxerồicóthểthươnglượnggiácảHìnhchụpchưađẹpnhưngnhìnởngoàirấtngonlành",7thángtrước,C\u1ea7n b\xe1n xe Honda Wave 110 m\xe0u b\u1ea1c
31.000.000,"GiađìnhtôicầnbánchiếcxeSpasy125nhậtmàutrắngđắngkýnăm1998,camkếtmáycònzinchưađụngchạmgìxeđivẫnbốcvàrấtêmxeănrấtítxăng,Xenữsửcẩnthận,Mớithayđôilốp,dầuvàlọcgióđichưađược100km,Biểnsố29H7–0568 Giábán:31,000,000đcóthươnglượngLiênhệ:0936086686",2nămtrước,Honda Spasy 125 nh\u1eadt tr\u1eafng
17.000.000,"NhàthừaxenêncầnbánchiếcxeHondaDylan125ccmàuđỏ,xenhàítđinênvẫncònmớivàbóngbẩy,xenhưtrênhìnhcóảnhthậtcủaxeđểmọingườixemthamkhảo,xeđảmbảomáyđiêmvàbốc,giámìnhmuốnbánlà16tr500,aimualiênhệmìnhnhé,cảmơnđãxemtin,sdt01675406573",2nămtrước,Honda Dylan 125cc m\xe0u \u0111\u1ecf
11.000.000,"EmlênđờiSHđểlạichoanhemnàonhiệttìnhemHondawave2010-BiểnHànộinhé,Anhemnàonhiệttìnhliênhệsớmchoem,Chấtlượngxeanhemkhôngphảinghĩ,xemhìnhlàrõ,Gíađểkịchsànchoanhen11,000,000đLh:MrHoàng:0961544672",1nămtrước,Honda wave gi\xe1 r\u1ebb - 2010
100.000.000,"Xechínhchủ,biểnđẹp,xeđigiữgìn",1nămtrước,T\xf4i c\u1ea7n ti\u1ec1n mu\u1ed1n b\xe1n xe Honda SH
35.000.000,"NắngráorồiraolạiemHONDASL230,Càocàothuộcdòng""Low-Rider"",RấtdễđiềukhiểnchonhữngaecóchiềucaokhiêmtốnXemáyêmnhưtủlạnh,đãthaylốpmới,lắptaychắnAcerbis,Tìnhtrạngxeđangrấthoànhảo, HìnhthứcaexemảnhthêmchokĩVừaordervềcáiđĩatrước+máphanhtrướcsauchưakịplắpaenàomuanhiệttìnhtặngluônGiấytờ4mảnhHonda150-XeNamGiá:3xtr(xtiểuhọchoặcsiêunhỏchoaenhiệttình)XemxeởkhuvựcXãĐàn-PhạmNgọcThạchtronggiờhànhchính",1nămtrước,B\xe1n C\xe0o C\xe0o Honda SL 230
23.900.000,"-MUABÁNTẠINHÀ,Xedomamasửdụng,mamakhôngcóbằngláinênítđiđâu,Chỉchạylòngvòngkhuvựcgầnnhàđóncháuđihọc,nêncònkhámới,-Tìnhtrạngxethìxemhìnhsẽrõ,Nguyênzin100%từngconốc,đầyđủ2kiếng-2chìakhóa,Phunxăngđiệntử,phanhABS,bảođảmchạy50km/1lít(đãtestthử),xebốcđãtestthửchở2người100km/hngonlànhcànhđào",1nămtrước,*B\xc1N xe honda Vision (H\xccNH TH\u1eacT)*
21.500.000,"DođổixenênbánxevisonFi2012xanh,xecònmới,khôngtrầy,máyrấtêm,chạyngonvàlợixăng,xemxetạinhà,côngchứngchoanhchịnàomuaxe",2nămtrước,"Honda Vision Fi 2012 m\xe0u xanh, bstp"
8.000.000,"Hàngđượcchọnlọcrấtkĩtrướckhiđưavềnướcphụcvụanhem,Xecácđờitừ95-05 ,Tấtcảđềuhàngnguyênbản,nguyênrin,Mọichitiếtxinvuilòngliênhệ0944094820",2nămtrước,"Honda Win 100 nh\u1eadp kh\u1ea9u, 8tr, NoPP"
58.500.000,"Côngchứccầntiềngiảiquyếtcôngviệc,bánHondaCustom125(CM125),biểnHàNội04số,đờichót1999,XenhậpkhẩuNhậtBảnnguyênchiếcchoanhemsửdụngTết,xenguyênbản100%,cựcsangtrọngvàmọichứcnănghoànhảo,xevềsửdụngngaykhôngphảisửachữagìvìtôichămsóckỹ,thườngxuyênchiếcxeyêuquý",2nămtrước,"b\xe1n Honda Custom 125 (CM125), Nh\u1eadt B\u1ea3n"
58.500.000,"Côngchứccầntiềngiảiquyếtcôngviệc,bánHondaCustom125(CM125),biểnHàNội04số,đờichót1999,XenhậpkhẩuNhậtBảnnguyênchiếcchoanhemsửdụngTết,xenguyênbản100%,cựcsangtrọngvàmọichứcnănghoànhảo,xevềsửdụngngaykhôngphảisửachữagìvìtôichămsóckỹ,thườngxuyênchiếcxeyêuquý",2nămtrước,"b\xe1n Honda Custom 125 (CM125), Nh\u1eadt B\u1ea3n"
75.000.000,"MìnhchủxecầnbánmộtxemáyHondaLA250TCustom,nguyênbản,biểnHCM,005,01,xeđời9x,Địađiểmbán:HàNội,Vìkhôngcónhucầudùngnênđểlạichobạnnàothíchdòngxenày,BạnnàoquantâmxingặpPhương(Mr,)đt0979796930Cámơnvìđãxemtin:)",2nămtrước,B\xe1n xe m\xe1y Honda LA250T Custom \u2013 H\xe0 N\u1ed9i
250.000.000,"XEHONDASHADOW750CC,CầnbánxeHondashadowPhoenix750ccnhậpkhẩu,sảnxuấtnăm,2008,ĐăngkýchínhchủtạiBắcGiangđăngkýnăm2014,Xemớichạy,được7288km(Nếubócninonvàđánhbónglạithìxenhưmới),Xenhưtronghìnhcầnbán…(baosangtênchuyểnvùngvận,chuyển,),XecầnbánđểgiúpvốnchoNgườikhác…",3nămtrước,C\u1ea7n b\xe1n: xe Honda Shadow 750cc
22.500.000,"Lênđời4bánh,nhàchật,emtúctắcchiatayHondaFortuneđời,2011chocáccụnewbiecôntay,Xemàuđen,đăngkýtháng12/2010biểnsốquậnHoànKiếm,làmột,trongnhữngbiển5số""đặcbiệt""9nútđầutiêntạiHàNội,cáccụ,đisẽthấy""tácdụng""(khoảnnàykhónói:)),Cụnàođãtìmhiểudòngnàysẽbiết,máybốcvàmượt,ănxăngcực",3nămtrước,B\xe1n huy\u1ec1n tho\u1ea1i c\xf4n tay Honda Fortune
28.000.000,"HondaNhậtbảnCG125chiếnmãTáihiệnlạilịchsử(CG125bảnxuấtnhật!!!),HONDACG125Model2017(XUẤTNHẬT)TáiHiệnLạiLịchSử""HồiSinhMẫuXeHuyềnThoạiHondaCG125Model2017""PhụcVụAEĐamMêDòngxeClassic,Làdòngxecôntayvangbóngmộtthờicủahondađượcthịtrườngưachuộngbởithiếtkếcũngnhưchấtlượngsảnphẩm",1nămtrước,Honda CG125 Model 2017 (b\u1ea3n xu\u1ea5t Nh\u1eadt )
58.500.000,"Côngchứccầntiềngiảiquyếtcôngviệc,bánHondaCustom125(CM125),biểnHàNội04số,đờichót1999,XenhậpkhẩuNhậtBảnnguyênchiếcchoanhemsửdụngTết,xenguyênbản100%,cựcsangtrọngvàmọichứcnănghoànhảo,xevềsửdụngngaykhôngphảisửachữagìvìtôichămsóckỹ,thườngxuyênchiếcxeyêuquý",2nămtrước,"b\xe1n Honda Custom 125 (CM125), Nh\u1eadt B\u1ea3n"
23.000.000,"Cầnbánchiếchonda Vision Fimàuxám,110phânkhối,Xecònnguyênbảnlắm,biểnks29G1,xeđkýtháng9/2013,xeítsửdụngvàcòncựcngonnhé,cácbạnmuasửdụngyêntâmlàmáymócnguyênzinvàhìnhthứcrấtmới,Xeđãdánnylongtoànxe,đặcbiệtđãquấndâyđồngbảovệốngdẫnxăngđểphòngchuộtcắn",2nămtrước,C\u1ea7n b\xe1n chi\u1ebfc honda\xa0Vision\xa0Fi m\xe0u x\xe1m
12.500.000,"Bánxechínhchủ,khôngquatrunggian,máymócphụtùngnguyênbản,Kiểmtraxethoảimái,Xebánđúnggiá,vuilòngkhôngmặccả,Giábán:12,500,000đ Liênhệ:0903,278,569 ",2nămtrước,B\xe1n xe m\xe1y Honda Wave S 110
16.000.000,"Cầnbán1xetaygaClickhãngHonda,Xenữđi ,Màuđen,Bảngsốthànhphố,Ưutiênngườiliênhệtrước",3nămtrước,B\xe1n 1 xe Honda Click 2007
68.000.000,"HondaCBF190R2017mẫunakedbike190cchoàntoànmớicủaHondaVớimức150ccđãquáthôngdụngHondamuốnmangđếncảmgiácmạnhmẽhơnchongườidùngởphânkhúc190ccnhưngvẫngiữđượctrọnglượngkhôngtănglênquánhiều140Kg,solệnhkhônglớnvớidòng150ccthôngdụng,XeđượctrangbịcôngnghệphungxăngđiệntửPGM-FI,kèmđólàứngdụngcáccôngnghệgiảmmasátđểCBF190Rsởhữumứctiêuhaonhiênliệucủa1chiếc150cc",1nămtrước,Honda CBF 190R 2017 nh\u1eadp nguy\xean chi\u1ebfc
160.000,"NHÂNDỊPKHAITRƯƠNGNGÀY1/10/2017Showroom:415PhạmVănĐồng,PhườngLinhĐôngQThủĐứcTPHCM,(NgayvòngxoayPhạmVănĐồngvàKhaVạnCânQ,ThủĐức)LôhàngHondarebel300abs2017cậpbến!!!GiásốcTrên160Tr(chưaVATvàkhoảnchiphíkhác,)Callngay:0982496898Hổtrợtrảgópthủtụcnhanh,gọn,xinvuilòngcallHotlinetrảgóp:HàNội:0944081368SàiGòn:0908532018Chươngtrìnhkhuyếnmãithángvànggiásốcshowroom5thưởngmotor415PhạmVănĐồng,Q",1nămtrước,\u0110\u1eadp th\xf9ng Honda rebel 300 abs 2017
275.000.000,"Nhândịpkhaitrươngngày1/10/2017Showroom:415phạmvănđồng,phườnglinhđôngQThủĐứcTPHCM,(NgayvòngxoayPhạmVănĐồngvàKhaVạnCânQuậnThủĐức)Hondarebell2502015""NhậpMỹ""Giásốc:2xxTriệu,Callngay:0982496898đểcógiátốtnhấtChươngtrìnhkhuyếnmãithángvànggiásốcthưởngmototưngbừngkhaitrươngshowroommớithưởngmoto(ápdụngtrênphạmvitoànquốc)https://www",1nămtrước,Honda rebel 250 2015 \u201cNh\u1eadp M\u1ef9\u201d
40.500.000,"Nhàchậtnênđemcáixeítchạylênbánhoặcđổi,HondaAirblade125phiênbảnmàuđennhámblackedition,córemote,xecònđẹpkhoảng90%,bảngsốthànhphố5nút,đăngkýtháng09/2015,odo9,000,máymóczinêmkhônghúhí,cònsổbảohành,1kínhvà1chìakhóalớncóremote,baocôngchứngmuabán1phút30giây,sangtênhoặcủyquyềnđềuđươc,xemxeởQuận10",1nămtrước,Honda AirBlade 125 \u0111en nh\xe1m 2015
14.000.000,"MìnhcầnbánxeWavealphađỏ,A/cnàocónhucầuliênhệrướcenónhé,Xecongáiđinêngiữgìncẩnthận,khámới,BiểnsốtỉnhBìnhThuận686-B3Muanăm2014,điđượckhoảng21,000kmMáynguyênzinchưađụngchạm,Giảmxíuchongườinhanhgọn",1nămtrước,B\xe1n g\u1ea5p xe Honda Wave Alpha \u0111\u1ecf.
