,Gia,Mieu ta,Ngay tao,Tua de
26,42.000.000,"CầnbánmộtxeHondaCD125Tsốkhungđầu15,date1997,NgoạihìnhđẹpXecóPPđãrabiển5sốTP,,đk2015,nhưngkhôngsangtênđượcGiáxe42triệuVND(sẽfixnếungườimuathậtsựthiệnchívàchămsócxekĩcàng),xemxetạiQ,9,TP,HCM,liênhệMinh(25t)0903830110,miễntiếptinnhắnSMS",2nămtrước,Honda CD125T Date 1997
27,30.000.000,"Xechínhchủ,nữđi,giữcẩnthận,thanhnhớtđịnhkì,Xedánkeonêngỡkeomàusơnđẹpnhưmới,Biểnsố7nút,đăngkíquậnBìnhthạnh",1nămtrước,Bán xe Honda Lead
28,42.000.000,"XezinTừa-z,Mọithứhoạtđộngkocóchútlỗi,Xecógiấytờđầyđủ,máybốckocóđiểmđểchê",1nămtrước,Honda CB400 đời 95
29,23.800.000,"CầnbánHondaVision2013Bstpchínhchủ,xenữchaynênrấtkỹvàêm,Xeđẹpmàuđenbónglưỡngnhưxemới,Fixchobạnnàocầnvàyêuxenhé!LH:0935508828Ms,Diễm",1nămtrước,Honda vision (zin 2013)
30,12.000.000,"BánxeHondaFuture,xecònrấttốt,đilàmhàngngày,MuốnnângcấplênPKLnênbán,Liênhệ:Thái0982101283",2nămtrước,Bán xe Honda Future
31,8.100.000,"mìnhcầnbánlaimộtchiếcxehonđawaveachínhhảng,xebiểnsốbìnhdương,giấytờđầyđủ,máyêm,chạybốcxemáyzinchưalàmgìcả,bìnhđề,đèn,kèn,sinnhanđầyđủ,giámìnhbánlại8tr1bớtchúttiềnxăngchoanhchiemmuavêđi,lh0987868226",1nămtrước,Honda wave@ chính hãng
32,24.000.000,"Hondabenly50ccFItaygasiêutiếtkiệmxăng60-70km/lítNguyênzin100%,chạyrấtđầmbốc,xenoppBán24trfixnhẹcafe,Xemxetạichợbàucáttânbình,sdt0917615599 ",2nămtrước,Honda benly 50cc FI
33,93.000.000,"BánxeSH125iphomnhập,biểnHN5sốxeđăngkývàsxtháng5/2011(chínhchủkonóisai),xecònmới98%bọcnilongkínxe,cònđầyđủ,2gương,2chìakhóa,sáchhướngdẫnvàđãlắpkhóatrốngchộm,Giá:93triệu,Kotiếpthợthuyền",1nămtrước,Honda SH125i đời 2011
34,24.500.000,"BánxeHondaAirbladenhàsửdụng,muatừnăm2012(nhưhình),giá24,5triệu,Liênhệ0932725005,găpVũ",3thángtrước,Không sử dụng cần bán Honda Airblade đời 2012
35,220.000.000,"HondaSH300icuối2015đầu2016BSTPchínhchủ, Máymóczinchưađụngchạmxeêmru, Dànáođẹplengkeng, Óctánsángchói, Dànchâncứnggắtđẹp, Xenóichungcònrấtđẹpmới, Phuộcohlinsđậpthùng",7thángtrước,Honda SH 300i cuối 2015 đầu 2016 BSTP chính chủ
